userName,verified,itemName,brand,category,price,reviewTime,rating,summary,vote_level,new_ser_dev,ML_ITEM_NAME,Positive Phrases,Negative Phrases
Lori Wohlgemuth,TRUE,TWIX Caramel Minis Size Chocolate Cookie Bar Candy 11.5-Ounce Bag (Pack of 4),Twix,Grocery_and_Gourmet_Food,37.56,1/1/18,5,"Love, love, love Chocolate",1. Votes - 0,loriwohlgemuth,N,TBC,TBC
Neda,TRUE,"PetSafe Nylon Dog Leash, Strong and Durable Traditional Style Leash with Easy to Use Collar Hook, Available in Multiple Widths and Colors",PetSafe,Pet_Supplies,8.95,1/1/18,5,Five Stars,1. Votes - 0,neda,N,TBC,TBC
Not tough to please,TRUE,The Original Elevated Pet Bed by Coolaroo,Coolaroo,Pet_Supplies,22.3,1/1/18,5,I like this bed,1. Votes - 0,nottoughtoplease,N,TBC,TBC
Adam G. Lane,TRUE,"More Than Gourmet Classic French Demi-Glace, 16 Ounce",More Than Gourmet,Grocery_and_Gourmet_Food,23.77,1/1/18,2,Just tasted like it added a burned taste but mine (or my ...,1. Votes - 0,adamglane,N,TBC,TBC
Dina A. Sollosi,TRUE,"Frito-Lay Doritos &amp; Cheetos Mix Orange Variety Pack, 20 Count",Frito Lay,Prime_Pantry,6.98,1/1/18,5,Nice snack,1. Votes - 0,dinaasollosi,N,TBC,TBC
M Campisi,TRUE,"Post-it Pop-up Notes Dispenser for 3 x 3-Inch Notes, Pink, Heart Shape",Post-it,Office_Products,18.49,1/1/18,5,Five Stars,1. Votes - 0,mcampisi,N,TBC,TBC
Dee,TRUE,"Premium Airline Approved Expandable Pet Carrier by Pet Peppy- Two Side Expansion, Designed for Cats, Dogs, Kittens,Puppies - Extra Spacious Soft Sided Carrier!",Petpeppy.com,Pet_Supplies,38.99,1/1/18,5,"Nice carrier, slightly odd design for expansion.",1. Votes - 0,dee,N,TBC,TBC
m b,TRUE,"Lipton Black Tea Bags, America's Favorite Tea, 312 ct",Lipton,Grocery_and_Gourmet_Food,7.49,1/1/18,3,They're OK(ish),1. Votes - 0,mb,N,TBC,TBC
Debra Cade,FALSE,Pioneer Pet Replacement Pump and Transformer,Pioneer Pet,Pet_Supplies,12.96,1/1/18,5,Love Love Love Pioneer Pet products,1. Votes - 0,debracade,N,TBC,TBC
Di,TRUE,Pioneer Pet Replacement Pump and Transformer,Pioneer Pet,Pet_Supplies,12.96,1/1/18,5,Five Stars,1. Votes - 0,di,N,TBC,TBC
Lety,FALSE,StarMark Everlasting Treat Ball,StarMark,Pet_Supplies,6.94,1/1/18,5,Its a hit!,1. Votes - 0,lety,N,TBC,TBC
Syed Zubair,TRUE,Tetra Whisper Easy to Use Air Pump for Aquariums (Non-UL),Tetra,Pet_Supplies,8.92,1/1/18,5,Five Stars,1. Votes - 0,syedzubair,N,TBC,TBC
Hector,TRUE,Tetra Whisper Easy to Use Air Pump for Aquariums (Non-UL),Tetra,Pet_Supplies,8.92,1/1/18,4,Four Stars,1. Votes - 0,hector,N,TBC,TBC
CATLVR,TRUE,Bowsers Artisan Diner Double Dog Feeder,Bowsers,Pet_Supplies,63.36,1/1/18,5,PERFECT HEIGHT AND SIZE FOR MY CAT,1. Votes - 0,catlvr,N,TBC,TBC
Leann,TRUE," Oh Boy! Oberto Classics Original Thin Style Beef Jerky, 1.2 Ounce (Pack of 8)"" />",Oberto,Grocery_and_Gourmet_Food,28.49,1/1/18,5,... case of this jerky for my boyfriend and he loved it. He says the thin is much easier ...,1. Votes - 0,leann,N,TBC,TBC
The Black Cat,TRUE,Martha Stewart Pets Quick Bath - Indoor/Outdoor Advanced Bathing System for Dogs - MS-14-554 (Hydrosurge),Martha Stewart,Pet_Supplies,36.99,1/1/18,5,"The dogs don't like it, but I do!",1. Votes - 0,theblackcat,N,TBC,TBC
Ismael Perez,TRUE,"OKRAY 10 Pack 1ft Short Mini High Speed Micro USB Cable USB 2.0 A Male to Micro B Sync and Charge Cables Cord Charger Compatible for Android, Samsung, LG, HTC, Motorola, Sony and More",OKRAY,Cell_Phones_and_Accessories,10.69,1/1/18,5,Five Stars,1. Votes - 0,ismaelperez,N,TBC,TBC
Hutch,TRUE,"BIC 4-Color Ballpoint Pen, Medium Point (1.0mm), Assorted Inks, 3-Count",BIC,Office_Products,5.48,1/1/18,5,Have given as gifts to high school students and they love them for note,1. Votes - 0,hutch,N,TBC,TBC
sg2014,TRUE,"PetSafe Nylon Dog Leash, Strong and Durable Traditional Style Leash with Easy to Use Collar Hook, Available in Multiple Widths and Colors",PetSafe,Pet_Supplies,8.95,1/1/18,5,Five Stars,1. Votes - 0,sg2014,N,TBC,TBC
Mary Kean,TRUE,Meow Mix Tender Favorites Wet Cat Food Surf 'N Turf Variety Pack,Meow Mix,Pet_Supplies,31.96,1/1/18,5,"It smells delicious, as far as cat food goes",1. Votes - 0,marykean,N,TBC,TBC
RitzvilleBarry,TRUE,"Pilot G2 Gel Ink Refill, 2-Pack for Rolling Ball Pens, Fine Point, Black Ink (77240)",Pilot,Office_Products,3.49,1/1/18,5,"They fit my Levenger roller ball pen and I love, love, love that pen",1. Votes - 0,ritzvillebarry,N,TBC,TBC
Carefree Linda,TRUE,"Oster Combo Brush for Dogs, Large (078279-102-001)",For Your Dog,Pet_Supplies,6.81,1/1/18,3,A porcupine brush might work better. It should be called Oster Combo Brush for ...,1. Votes - 0,carefreelinda,N,TBC,TBC
Rebecca Gray,TRUE,Kaytee Giant Finch Bamboo Nature's Nest,Kaytee,Pet_Supplies,6.99,1/1/18,5,Best size finch nests,1. Votes - 0,rebeccagray,N,TBC,TBC
Mike,TRUE,iCarez [Anti Glare] Screen Protector for Samsung Galaxy S7 (Case Friendly) [Unique Hinge Install Method with Kits ] 3-Pack with Lifetime Replacement Warranty - Retail Packaging,iCarez,Cell_Phones_and_Accessories,5.85,1/1/18,5,Five Stars,1. Votes - 0,mike,N,TBC,TBC
Jim C.,TRUE,Cherry Tootsie Pops 30 Pops,tootsie roll industries,Grocery_and_Gourmet_Food,10.84,1/1/18,5,Five Stars,1. Votes - 0,jimc,N,TBC,TBC
Curt,TRUE,"Sharpie Permanent Markers, Fine Point, Purple, 12-Pack (30008)",Sharpie,Office_Products,9.37,1/1/18,4,Good set of markers,1. Votes - 0,curt,N,TBC,TBC
Themom,TRUE,"Sharpie Permanent Markers, Fine Point, Purple, 12-Pack (30008)",Sharpie,Office_Products,9.37,1/1/18,4,Four Stars,1. Votes - 0,themom,N,TBC,TBC
TomC,TRUE,ArmorSuit Samsung Galaxy S7 Screen Protector Case Friendly MilitaryShield Screen Protector for Galaxy S7 - HD Clear Anti-Bubble Film,ArmorSuit,Cell_Phones_and_Accessories,7.85,1/1/18,5,Good screen protector.,1. Votes - 0,tomc,N,TBC,TBC
Beautifile,TRUE,"Naturally Fresh Litter Ultra Odor Control Cat Litter,14 lb",Naturally Fresh Litter,Pet_Supplies,17.99,1/1/18,5,The only brand we use,2. Votes < 10,beautifile,N,TBC,TBC
James Murphy,TRUE,Dog Crate Double-Door Folding Metal - Wire Cage w/Divider &amp; Tray for Training Pets - 2019 Newly Designed Model,Paws & Pals,Pet_Supplies,37.95,1/1/18,5,Worked for the new puppies,1. Votes - 0,jamesmurphy,N,TBC,TBC
Nana-Banana,TRUE,Dog Crate Double-Door Folding Metal - Wire Cage w/Divider &amp; Tray for Training Pets - 2019 Newly Designed Model,Paws & Pals,Pet_Supplies,37.95,1/1/18,5,"Great crate, especially with 2 entry doors.",1. Votes - 0,nana-banana,N,TBC,TBC
michelle,TRUE,"Halo Liv-A-Littles Grain Free Natural Dog Treats &amp; Cat Treats, Freeze Dried Chicken Breast, 2.2-Ounce","Halo, Purely For Pets",Pet_Supplies,9.1,1/1/18,1,There is nothing to indicate the container was sealed. ...,1. Votes - 0,michelle,N,TBC,TBC
Sby,TRUE,"Quaker Oatmeal Squares Cereal, 14.5 Oz Box",Quaker,Prime_Pantry,2.99,1/1/18,4,Four Stars,1. Votes - 0,sby,N,TBC,TBC
t_ochoa,TRUE,"Pentel Icy Automatic Pencil, 0.5mm,  Assorted Barrels, 3 Pack (AL25TBP3)",Pentel,Office_Products,14.87,1/1/18,1,Awful quality,1. Votes - 0,t_ochoa,N,TBC,TBC
Mr. P,TRUE,OtterBox DEFENDER iPhone 6/6s Case - Retail Packaging - GLACIER (WHITE/GUNMETAL GREY),OtterBox,Cell_Phones_and_Accessories,29.99,1/1/18,5,Solid product over many generations,1. Votes - 0,mrp,N,TBC,TBC
Nate,FALSE,Lifeproof FR SERIES Waterproof Case for iPhone 8 &amp; 7 (ONLY) - Retail Packaging - WIPEOUT (BLUE TINT/FUSION CORAL/MANDALAY BAY),LifeProof,Cell_Phones_and_Accessories,49.97,1/1/18,4,"Good, secure, nice-looking case for my daughter's iPhone 7",1. Votes - 0,nate,N,TBC,TBC
Jerrel Lewis,TRUE,Seachem Reef Calcium 500ml,Seachem,Pet_Supplies,14.55,1/1/18,4,Four Stars,1. Votes - 0,jerrellewis,N,TBC,TBC
Amazon Customer,TRUE,Samsung Qi Certified Fast Charge Wireless Charger Stand (2016 Edition) - US Version - White,Samsung,Cell_Phones_and_Accessories,32.97,1/1/18,5,Five Stars,1. Votes - 0,amazoncustomer,N,TBC,TBC
Elan,TRUE,Nestle Quality Street 257g,Quality Street,Grocery_and_Gourmet_Food,7.87,1/1/18,5,Good taste.,1. Votes - 0,elan,N,TBC,TBC
A. VANDREUMEL,TRUE,"Smead File Folder, 1/3-Cut Tab, Letter Size, Assorted Colors, 100 per Box, (11943)",Smead,Office_Products,13.71,1/1/18,5,"While pink file folders don't make filing more exciting, they do the job",1. Votes - 0,avandreumel,N,TBC,TBC
Yunael,TRUE,"Prismacolor 3598T Premier Colored Pencils, Soft Core, 48 Pack",Prismacolor,Office_Products,22,1/1/18,3,Three Stars,1. Votes - 0,yunael,N,TBC,TBC
OJ,TRUE,"Master Airbrush Brand Hobby Airbrush Spray Booth Filter Set, Fits Master, Paasche, Sky Enterprise, Airhobby and Many Others.",Master Airbrush,Arts_Crafts_and_Sewing,9.96,1/1/18,5,must have replacement with airbrush,1. Votes - 0,oj,N,TBC,TBC
SandraW,TRUE,"Equal Exchange Organic Whole Bean Coffee, Mind Body Soul, 12-Ounce Bag",Equal Exchange,Grocery_and_Gourmet_Food,6.85,1/1/18,5,Five Stars,1. Votes - 0,sandraw,N,TBC,TBC
Amanda,TRUE,"Idepet 1SET Dog Muzzles Suit,5PCS Adjustable Dog Mouth Cover Anti-Biting Barking Muzzles for Small Medium Large Extra Dog",Idepet,Pet_Supplies,8.29,1/1/18,5,A huge help for trimming nails,3. Votes < 100,amanda,N,TBC,TBC
PetLover,TRUE,API Automatic Fish Feeder,API,Pet_Supplies,2.99,1/1/18,5,Five Stars,1. Votes - 0,petlover,N,TBC,TBC
Bwils00y,TRUE,Elanco Animal Health Cheristin for Cats Topical Flea Treatment and Prevention &ndash; 6 Monthly Doses - 33385,Elanco Animal Health,Pet_Supplies,65.99,1/1/18,5,Five Stars,1. Votes - 0,bwils00y,N,TBC,TBC
Joseph Law,TRUE,"Nomad Pets Pooper Scooper Set for Dogs with Blue Poop Bags - Perfect for Small, Medium, Large, XL Pets - Best Long Handle Scoop - Portable and Heavy Duty with Jaw Claw Bin - Great in Grass",Nomad Pets,Pet_Supplies,13.98,1/1/18,1,"I had anticipated it being a bit better quality, a bit more on the ""sturdy"" side ...",1. Votes - 0,josephlaw,N,TBC,TBC
Julie,FALSE,Burt's Bees Facial Cleansing Towelettes for Sensitive Skin- 30 Count,Burt's Bees Baby,Prime_Pantry,4.97,1/1/18,5,I have really sensitive skin and I find these to ...,1. Votes - 0,julie,N,TBC,TBC
Zane Herrington,TRUE,Seachem Ammonia Alert,Seachem,Pet_Supplies,6.99,1/1/18,5,Working great so far,1. Votes - 0,zaneherrington,N,TBC,TBC
S. Tuggle,TRUE,EXPAWLORER Best No-Pull Dog Harness. 3M Reflective Outdoor Adventure Pet Vest with Handle. 7 Stylish Colors and 5 Sizes,EXPAWLORER,Pet_Supplies,18.99,1/1/18,5,I absolutely love this harness,1. Votes - 0,stuggle,N,TBC,TBC
Carolyn B. Penrod,TRUE,EXPAWLORER Best No-Pull Dog Harness. 3M Reflective Outdoor Adventure Pet Vest with Handle. 7 Stylish Colors and 5 Sizes,EXPAWLORER,Pet_Supplies,18.99,1/1/18,2,We only used this harness 1 time. Her hair ...,1. Votes - 0,carolynbpenrod,N,TBC,TBC
Ken,FALSE,goDog Furballz Durable Plush Dog Toy with Chew Guard Technology,goDog,Pet_Supplies,5.59,1/1/18,5,OMG it is SOOO loud. For crying out loud,1. Votes - 0,ken,N,TBC,TBC
Charlie ,TRUE,EXPAWLORER Best No-Pull Dog Harness. 3M Reflective Outdoor Adventure Pet Vest with Handle. 7 Stylish Colors and 5 Sizes,EXPAWLORER,Pet_Supplies,18.99,1/1/18,4,Seems to be nicely made but my short legged little girl was still ...,1. Votes - 0,charlie,N,TBC,TBC
Amazonguy,TRUE,Eden Foods Organic Brown Rice Vinegar -- 10 fl oz,Eden,Grocery_and_Gourmet_Food,9.41,1/1/18,5,A good vinegar.,1. Votes - 0,amazonguy,N,TBC,TBC
Katy,TRUE,Outward Hound Port-A-Bowl Collapsible Travel Dog Food and Water Bowl,Outward Hound,Pet_Supplies,11.99,1/1/18,5,... leak after a while (~2hrs for me) but works great for quick water or food stops when I'm hiking ...,1. Votes - 0,katy,N,TBC,TBC
Connie,TRUE,"Astrobrights Color Paper, 8.5&rdquo; x 11&rdquo;, 24 lb/89 gsm, Lunar Blue, 500 Sheets (21528)",Neenah,Office_Products,15.99,1/1/18,1,One Star,1. Votes - 0,connie,N,TBC,TBC
art kimble,FALSE,Killzone: Shadow Fall (PlayStation 4),Sony,Video_Games,19,1/1/18,4,Thumbs up,1. Votes - 0,artkimble,N,TBC,TBC
JibJab,TRUE,OtterBox Defender Cell Phone Case for LG V10 - Retail Packaging - Black,OtterBox,Cell_Phones_and_Accessories,7.93,1/1/18,5,Five Stars,1. Votes - 0,jibjab,N,TBC,TBC
Mrs Glidden,TRUE,API Flakes,API,Pet_Supplies,6.84,1/1/18,1,One Star,1. Votes - 0,mrsglidden,N,TBC,TBC
S. Mendez,TRUE,June Tailor JT-949 Sewin Colorfast Fabric Sheets for Inkjet Printers (Pack of 25),June Tailor,Arts_Crafts_and_Sewing,49.25,1/1/18,5,Five Stars,2. Votes < 10,smendez,N,TBC,TBC
A. VANDREUMEL,TRUE,"Smead Hanging File Folder, 1/5-Cut Adjustable Tab, Letter Size, Maroon, 25 per Box (64073)",Smead,Office_Products,16.95,1/1/18,5,Perform as expected.,1. Votes - 0,avandreumel,N,TBC,TBC
Karoline Carlson,TRUE,Spigen Neo Hybrid Galaxy S7 Edge Case with Flexible Inner Protection and Reinforced Hard Bumper Frame for Samsung Galaxy S7 Edge 2016 - Gunmetal,Spigen,Cell_Phones_and_Accessories,16.99,1/1/18,5,Spigen Neo Hybrid Galaxy S7 Edge Case Review,1. Votes - 0,karolinecarlson,N,TBC,TBC
Sawdust River,TRUE,"Simply Organic Parsley Flakes Cut &amp; Sifted Certified Organic, 0.26 Ounce Container",Simply Organic,Grocery_and_Gourmet_Food,3.49,1/1/18,5,... to use dried herbs then Simply Organic is an excellent choice.,1. Votes - 0,sawdustriver,N,TBC,TBC
Syed Zubair,TRUE,Seachem Flourish 500ml,Seachem,Pet_Supplies,6.4,1/1/18,5,Good product,1. Votes - 0,syedzubair,N,TBC,TBC
Mauiballet,TRUE,Bluedot Trading Pet Poop Scoop Waste Bags Roll Clean up Refill,Bluedot Trading,Pet_Supplies,9.99,1/1/18,1,Waste of money,1. Votes - 0,mauiballet,N,TBC,TBC
MB,TRUE,"Wellness Complete Health Natural Dry Dog Food, Chicken &amp; Oatmeal",Wellness Natural Pet Food,Pet_Supplies,15.67,1/1/18,5,Easy on our dog's allergies,1. Votes - 0,mb,N,TBC,TBC
HK,TRUE,Seachem Discus Buffer 1 Kilo,Seachem,Pet_Supplies,21.02,1/1/18,4,Great  pH buffee,1. Votes - 0,hk,N,TBC,TBC
Sultan Ziyad,TRUE,Belkin Standard 7.9''x9.8'' Mouse Pad (Red),Belkin,Office_Products,4.48,1/1/18,5,Five Stars,1. Votes - 0,sultanziyad,N,TBC,TBC
fausto cruz,TRUE,DYMO LabelWriter 450 Turbo Thermal Label Printer (1752265),DYMO,Office_Products,5.79,1/1/18,5,Five Stars,1. Votes - 0,faustocruz,N,TBC,TBC
LeeLee Stramer,TRUE,Jackson Galaxy Pet Stain and Odor Eliminator by Fizzion - Removes Pet Urine and Feces Safely With The Professional Cleaning power Of CO2 (10 Tablets) Makes 230oz,Fizzion,Pet_Supplies,29.95,1/1/18,4,Works great on surface stains but needs multiple passes for deeper stains...,2. Votes < 10,leeleestramer,N,TBC,TBC
Maryellen,TRUE,TerraKing 54 cu. ft. Standard Leaf Bag - 120-in. opening [ST95000],TerraKing,Patio_Lawn_and_Garden,89.99,1/1/18,5,Great quality. Easy to install and empty,1. Votes - 0,maryellen,N,TBC,TBC
J.L.H.,FALSE,OtterBox DEFENDER SERIES Case for iPhone 5/5s/SE - Retail Packaging - REALTREE AP PINK (WHITE/GUNMETAL GREY/AP PINK DESIGN),OtterBox,Cell_Phones_and_Accessories,17.99,1/1/18,5,Best drop protection if you're willing to make some concessions,1. Votes - 0,jlh,N,TBC,TBC
WmGoatHuntleyIL,TRUE,"3M Gel Wrist Rest for Keyboards, Soothing Gel Comfort with Durable, Easy to Clean Leatherette Cover, Antimicrobial Product Protection, 19"", Black (WR310LE)",3M,Office_Products,12.96,1/1/18,3,"1 out of 4 devices found to be leaking, but on the whole, nice.",1. Votes - 0,wmgoathuntleyil,N,TBC,TBC
Amanda,FALSE,Farnam SimpliFly Feed-Thru Fly Control,Farnam,Pet_Supplies,31.45,1/1/18,5,A staple in our barn,1. Votes - 0,amanda,N,TBC,TBC
